iter	Passed	Remaining
827	1707	354
828	1709	352
829	1710	350
830	1712	348
831	1713	345
832	1714	343
833	1717	341
834	1719	339
835	1720	337
836	1722	335
837	1723	333
838	1725	331
839	1727	328
840	1728	326
841	1729	324
842	1732	322
843	1734	320
844	1735	318
845	1737	316
846	1739	314
847	1740	312
848	1742	309
849	1743	307
850	1745	305
851	1747	303
852	1748	301
853	1750	299
854	1752	297
855	1753	294
856	1754	292
857	1756	290
858	1757	288
859	1759	286
860	1761	284
861	1763	282
862	1765	280
863	1766	278
864	1767	275
865	1769	273
866	1771	271
867	1772	269
868	1773	267
869	1775	265
870	1777	263
871	1779	261
872	1781	259
873	1783	257
874	1784	254
875	1785	252
876	1787	250
877	1788	248
878	1789	246
879	1792	244
880	1793	242
881	1795	240
882	1796	238
883	1797	235
884	1799	233
885	1800	231
886	1802	229
887	1803	227
888	1805	225
889	1807	223
890	1809	221
891	1810	219
892	1812	217
893	1814	215
894	1815	212
895	1816	210
896	1818	208
897	1819	206
898	1821	204
899	1823	202
900	1824	200
901	1825	198
902	1827	196
903	1828	194
904	1830	192
905	1831	190
906	1832	187
907	1834	185
908	1837	183
909	1838	181
910	1840	179
911	1841	177
912	1843	175
913	1844	173
914	1845	171
915	1847	169
916	1848	167
917	1849	165
918	1852	163
919	1854	161
920	1855	159
921	1856	157
922	1858	155
923	1859	152
924	1861	150
925	1862	148
926	1863	146
927	1864	144
928	1867	142
929	1868	140
930	1870	138
931	1871	136
932	1873	134
933	1874	132
934	1875	130
935	1877	128
936	1878	126
937	1880	124
938	1882	122
939	1884	120
940	1885	118
941	1887	116
942	1888	114
943	1889	112
944	1891	110
945	1893	108
946	1894	106
947	1897	104
948	1898	102
949	1900	100
950	1902	98
951	1903	95
952	1905	93
953	1906	91
954	1908	89
955	1909	87
956	1912	85
957	1914	83
958	1915	81
959	1916	79
960	1918	77
961	1919	75
962	1920	73
963	1922	71
964	1923	69
965	1925	67
966	1928	65
967	1929	63
968	1931	61
969	1932	59
970	1933	57
